,Zip,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,10001,40.750633,-73.99717700000002,Bluestone Lane,40.7520681,-73.9988477,Coffee Shop
1,10001,40.750633,-73.99717700000002,You Should Be Dancing…..! / Club 412,40.75030643797371,-73.99474277021865,Dance Studio
2,10001,40.750633,-73.99717700000002,New York Pizza Suprema,40.750124384298815,-73.99499165569237,Pizza Place
3,10001,40.750633,-73.99717700000002,Music Choice,40.75263233072513,-73.9945851381405,Music Venue
4,10001,40.750633,-73.99717700000002,B&H Photo Video,40.75327707821823,-73.9964696920619,Camera Store
5,10001,40.750633,-73.99717700000002,Madison Square Garden,40.75075196505169,-73.99354219436646,Basketball Stadium
6,10001,40.750633,-73.99717700000002,Panda Express,40.750300549985134,-73.99470718702347,Chinese Restaurant
7,10001,40.750633,-73.99717700000002,Magnet Theater,40.748703,-73.995415,Indie Theater
8,10001,40.750633,-73.99717700000002,Hulu Theater,40.750923181108604,-73.99407910561577,Music Venue
9,10001,40.750633,-73.99717700000002,Chirp,40.7533765410883,-73.99611647747534,Peruvian Restaurant
10,10001,40.750633,-73.99717700000002,Magnolia Bakery,40.750963,-73.993576,Bakery
11,10001,40.750633,-73.99717700000002,Midtown Tennis Club,40.74753954512485,-73.9969235108266,Tennis Court
12,10001,40.750633,-73.99717700000002,Sam Ash Music,40.75286219197526,-73.99511420809027,Music Store
13,10001,40.750633,-73.99717700000002,Renzo Gracie Academy,40.748975450528924,-73.99367798722173,Boxing Gym
14,10001,40.750633,-73.99717700000002,Delta Sky360° Club,40.75056410809063,-73.99282357901902,Lounge
15,10001,40.750633,-73.99717700000002,Ken & Dana Design,40.749316,-73.993933,Jewelry Store
16,10001,40.750633,-73.99717700000002,Muji,40.7538399579729,-73.99995618289434,Furniture / Home Store
17,10001,40.750633,-73.99717700000002,Krispy Kreme Doughnuts,40.74999,-73.992149,Donut Shop
18,10001,40.750633,-73.99717700000002,Marcelo Garcia Brazilian Jiu-Jitsu Academy,40.746564671484286,-73.99627474151909,Martial Arts Dojo
19,10001,40.750633,-73.99717700000002,Penn Sushi,40.750085490425846,-73.99309158325195,Sushi Restaurant
20,10001,40.750633,-73.99717700000002,Billymark's West,40.75021898192345,-73.99853097577707,Dive Bar
21,10001,40.750633,-73.99717700000002,Sergimmo Salumeria,40.754388185280874,-73.99564194904139,Italian Restaurant
22,10001,40.750633,-73.99717700000002,Taco Bell Cantina,40.75298858903024,-73.9929354812896,Fast Food Restaurant
